LMID,MZ,diagIonsInChian,diagIonsInRing,MS2,RT,CCS,Standard
LMST01031265_20-21_0_0_ring,442.367934,,"411.325734,393.315174","411.325734,393.315174",380.93946709314196,220.4497436,
LMST01031265_5-6_0_0_chain,442.367934,"114.12772,358.27404,340.26348",,"114.12772,358.27404,340.26348",561.4194854093384,222.6131489,
LMST01031266_0-1_0_0_chain,430.367934,"416.35228,398.34172,380.33116",,"416.35228,398.34172,380.33116",466.76676050259584,223.5453071,
LMST01031266_12-13_0_0_ring,430.367934,,"399.325734,381.315174,363.304614","399.325734,381.315174,363.304614",541.61373160993,220.6316122,
LMST01031267_0-1_0_0_chain,412.35737,"398.34172,380.33116",,"398.34172,380.33116",582.3747871516922,226.0241237,
LMST01031267_12-13_0_0_ring,412.35737,,"381.31517,363.30461","381.31517,363.30461",537.9382536129037,220.7013852,
LMST01031267_18-19_0_0_ring,412.35737,,"381.31517,363.30461","381.31517,363.30461",515.3107689368753,221.3948104,
LMST01031268_13-14_0_0_ring,458.362848,,"427.320648,409.310088,391.299528","427.320648,409.310088,391.299528",560.184201511031,223.9613656,
LMST01031268_5-6_0_0_chain,458.362848,"114.12772,374.26895,356.25839,338.24783",,"114.12772,374.26895,356.25839,338.24783",425.90483242323563,219.9445385,
LMST01031269_14-15_0_0_ring,476.373411,,"445.331211,427.320651,409.310091","445.331211,427.320651,409.310091",594.4213083751806,224.9894723,
LMST01031269_6-7_0_0_chain,476.373411,"130.12263,112.11207,376.2846,358.27404,340.26348",,"130.12263,112.11207,376.2846,358.27404,340.26348",385.12058927416626,225.1969827,
LMST01031270_10-11_0_0_ring,492.368325,,"461.32612500000005,443.31556500000005,425.30500500000005","461.32612500000005,443.31556500000005,425.30500500000005",583.9722488716129,221.897203,
LMST01031270_2-3_0_0_chain,492.368325,"392.27952,374.26896,356.2584,130.12263,112.11207",,"392.27952,374.26896,356.2584,130.12263,112.11207",322.3174881819132,223.2910835,
LMST01031271_21-22_0_0_ring,516.404709,,"485.36250900000005,467.35194900000005","485.36250900000005,467.35194900000005",553.2493562175042,235.1898594,
LMST01031272_0-1_0_0_chain,456.347199,"442.33155,424.32099",,"442.33155,424.32099",544.8847989651385,225.5527809,
LMST01031272_11-12_0_0_ring,456.347199,,"425.304999,407.294439","425.304999,407.294439",535.3458043104755,223.4327344,
LMST01031272_2-3_0_0_chain,456.347199,"112.11207,374.26895,356.25839",,"112.11207,374.26895,356.25839",527.7250751111437,220.7134647,
LMST01031273_0-1_0_0_chain,458.362848,"444.3472,426.33664",,"444.3472,426.33664",575.7335382648275,229.3050787,
LMST01031273_11-12_0_0_ring,458.362848,,"427.320648,409.310088","427.320648,409.310088",574.7099182935909,223.2055468,
LMST01031274_14-15_0_0_ring,458.362848,,"427.320648,409.310088","427.320648,409.310088",503.8799343654424,226.0568576,
LMST01031274_5-6_0_0_chain,458.362848,"114.12772,374.26895,356.25839",,"114.12772,374.26895,356.25839",543.7794141201299,221.7295871,
LMST01031275_0-1_0_0_chain,474.394146,"460.3785,442.36794",,"460.3785,442.36794",561.1718618788145,230.3249736,
LMST01031275_18-19_0_0_ring,474.394146,,"443.351946,425.341386","443.351946,425.341386",548.8816947759072,233.4650847,
LMST01031276_12-13_0_0_ring,474.394146,,"443.351946,425.341386","443.351946,425.341386",561.4001516190826,231.8789648,
LMST01031276_18-19_0_0_ring,474.394146,,"443.351946,425.341386","443.351946,425.341386",552.2388983870749,229.0941871,
LMST01031277_13-14_0_0_ring,426.37302,,"395.33082,377.32026","395.33082,377.32026",529.9427373985194,219.1310406,
LMST01031277_24-25_0_0_ring,426.37302,,"395.33082,377.32026","395.33082,377.32026",541.0370905686365,217.6580367,
